title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
G.I. Joe: The Rise of Cobra,0,0,0,0,[],Action
"Game, The",51,42,9,0,True,Action
Gamer,39,28,10,1,True,Action
Gattaca,2,2,0,0,True,Action
Get Carter,4,1,3,0,True,Action
Get Out,24,16,7,1,True,Action
"Getaway, The",0,0,0,0,[],Action
Ghost,2,2,0,0,True,Action
"Ghost and the Darkness, The",4,2,1,1,True,Action
Ghost Rider,41,38,3,0,True,Action
Ghost Ship,15,10,4,1,False,Action
Ginger Snaps,0,0,0,0,[],Action
Godzilla,0,0,0,0,[],Action
Gothika,13,10,2,1,True,Action
Gravity,3,1,1,1,True,Action
Grosse Point Blank,18,17,1,0,True,Action
"Grudge, The",0,0,0,0,[],Action
Hackers,8,1,7,0,True,Action
Halloween,19,10,6,3,True,Action
Halloween: The Curse of Michael Myers,0,0,0,0,[],Action
Hancock,21,18,3,0,True,Action
"Hangover, The",4,3,0,1,True,Action
Hannibal,2,2,0,0,True,Action
Hard Rain,4,2,2,0,True,Action
Harry Potter and the Goblet of Fire,0,0,0,0,[],Action
"Haunting, The",1,1,0,0,True,Action
Heat,41,39,1,1,True,Action
Heavenly Creatures,0,0,0,0,[],Action
Heist,9,8,0,1,True,Action
Hellbound: Hellraiser II,0,0,0,0,[],Action
Hellraiser: Deader,0,0,0,0,[],Action
"Hills Have Eyes, The",7,6,1,0,True,Action
Hollow Man,16,14,2,0,True,Action
Hostage,42,33,8,1,True,Action
Hotel Rwanda,7,7,0,0,True,Action
"Hunt for Red October, The",3,3,0,0,True,Action
"Hurt Locker, The",22,16,6,0,True,Action
I Am Number Four,0,0,0,0,[],Action
I Spit on Your Grave,33,20,11,2,True,Action
I Still Know What You Did Last Summer,0,0,0,0,[],Action
"I, Robot",1,0,1,0,True,Action
"Informant, The",14,10,4,0,True,Action
"Insider, The",37,35,2,0,True,Action
Insidious,9,7,1,1,True,Action
Insomnia,15,12,2,1,True,Action
"Island, The",16,16,0,0,True,Action
It,9,2,7,0,True,Action
"Italian Job, The",7,4,3,0,True,Action
"Jacket, The",19,15,4,0,True,Action
Jacob's Ladder,18,15,2,1,True,Action
Jade,0,0,0,0,[],Action
Jason X,24,14,7,3,True,Action
Jaws,0,0,0,0,[],Action
Jaws 2,4,0,3,1,True,Action
Jennifer Eight,55,42,11,2,True,Action
Jennifer's Body,18,16,2,0,True,Action
JFK,27,19,8,0,True,Action
John Q,7,1,5,1,True,Action
John Wick,23,22,1,0,True,Action
Joker,40,33,7,0,True,Action
Jurassic Park,0,0,0,0,[],Action
Jurassic Park III,0,0,0,0,[],Action
Jurassic Park: The Lost World,0,0,0,0,[],Action
Kalifornia,23,18,4,1,True,Action
Kill Bill Volume 1 & 2,0,0,0,0,[],Action
Killing Zoe,82,75,5,2,True,Action
King Kong,0,0,0,0,[],Action
"Kingdom, The",14,12,2,0,True,Action
Klute,2,0,0,2,True,Action
L.A. Confidential,32,28,4,0,True,Action
Lake Placid,7,7,0,0,True,Action
Land of the Dead,27,22,5,0,True,Action
"Last Boy Scout, The",126,103,14,9,True,Action
Law Abiding Citizen,47,30,16,1,True,Action
Legion,36,31,3,2,True,Action
Lethal Weapon,0,0,0,0,[],Action
