title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
"I, Robot",1,0,1,0,True,Action
Inception,0,0,0,0,[],Action
"Incredibles, The",0,0,0,0,[],Action
Independence Day,2,2,0,0,True,Action
Indiana Jones and the Last Crusade,0,0,0,0,[],Action
Indiana Jones and the Raiders of the Lost Ark,0,0,0,0,[],Action
Indiana Jones and the Temple of Doom,0,0,0,0,[],Action
Indiana Jones IV,0,0,0,0,[],Action
Inglourious Basterds,28,26,1,1,True,Action
Innerspace,0,0,0,0,[],Action
"Island, The",16,16,0,0,True,Action
"Italian Job, The",7,4,3,0,True,Action
Jade,0,0,0,0,[],Action
Jason X,24,14,7,3,True,Action
Jimmy and Judy,107,89,16,2,True,Action
John Wick,23,22,1,0,True,Action
Judge Dredd,6,5,0,1,True,Action
Jurassic Park,0,0,0,0,[],Action
Jurassic Park III,0,0,0,0,[],Action
Jurassic Park: The Lost World,0,0,0,0,[],Action
Kill Bill Volume 1 & 2,0,0,0,0,[],Action
King Kong,0,0,0,0,[],Action
"Kingdom, The",14,12,2,0,True,Action
Kung Fu Panda,0,0,0,0,[],Action
Lake Placid,7,7,0,0,True,Action
Land of the Dead,27,22,5,0,True,Action
"Last Boy Scout, The",126,103,14,9,True,Action
"Last Samurai, The",2,1,1,0,True,Action
Legion,36,31,3,2,True,Action
"LEGO Movie, The",0,0,0,0,[],Action
Les Tontons Flingueurs,0,0,0,0,[],Action
Lethal Weapon,0,0,0,0,[],Action
Lethal Weapon 4,0,0,0,0,[],Action
Logan,30,23,7,0,True,Action
Logan's Run,0,0,0,0,[],Action
"Long Kiss Goodnight, The",81,71,5,5,True,Action
Looper,27,24,3,0,True,Action
"Lord of the Rings: Fellowship of the Ring, The",0,0,0,0,[],Action
Lord of the Rings: Return of the King,0,0,0,0,[],Action
Lord of the Rings: The Two Towers,0,0,0,0,[],Action
"Losers, The",7,1,6,0,True,Action
Lost in Space,0,0,0,0,[],Action
Machete,33,31,2,0,True,Action
Machine Gun Preacher,30,21,8,1,True,Action
Mad Max 2: The Road Warrior,0,0,0,0,[],Action
Man in the Iron Mask,1,0,1,0,True,Action
Man On Fire,12,10,2,0,True,Action
"Mariachi, El",0,0,0,0,[],Action
"Mask, The",4,0,0,4,True,Action
Master and Commander,0,0,0,0,[],Action
"Matrix Reloaded, The",21,20,1,0,True,Action
"Matrix, The",5,4,1,0,True,Action
Max Payne,1,0,1,0,True,Action
"Mechanic, The",7,6,1,0,True,Action
Megamind,1,0,1,0,True,Action
Men in Black,5,0,5,0,True,Action
Men in Black 3,1,0,1,0,True,Action
Metro,51,36,12,3,True,Action
Miami Vice,15,15,0,0,True,Action
Mighty Joe Young,0,0,0,0,[],Action
Mighty Morphin Power Rangers: The Movie,0,0,0,0,[],Action
Minority Report,10,9,1,0,True,Action
Mission Impossible,1,0,0,1,True,Action
Mission Impossible II,2,0,1,1,True,Action
"Mummy, The",1,0,1,0,True,Action
Mystery Men,0,0,0,0,[],Action
Natural Born Killers,41,19,15,7,True,Action
New York Minute,1,0,1,0,True,Action
Next,1,0,1,0,True,Action
Nightbreed,10,9,1,0,True,Action
Ninja Assassin,14,14,0,0,True,Action
Oblivion,0,0,0,0,[],Action
Outbreak,0,0,0,0,[],Action
"Pacifier, The",0,0,0,0,[],Action
Pandorum,23,22,1,0,True,Action
"Patriot, The",0,0,0,0,[],Action
Pearl Harbor,15,5,8,2,True,Action
Perfect Creature,10,8,2,0,True,Action
"Perfect World, A",4,0,4,0,True,Action
Pirates of the Caribbean,0,0,0,0,[],Action
Pirates of the Caribbean: Dead Man's Chest,0,0,0,0,[],Action
"Planet of the Apes, The",0,0,0,0,[],Action
Platoon,114,71,40,3,True,Action
Point Break,45,36,8,1,True,Action
"Postman, The",3,2,1,0,True,Action
Predator,8,4,3,1,True,Action
Priest,1,0,1,0,True,Action
"Program, The",22,7,15,0,True,Action
Pulp Fiction,88,41,39,8,True,Action
Rambo: First Blood II: The Mission,0,0,0,0,[],Action
Red Planet,25,22,2,1,True,Action
Reindeer Games,39,34,5,0,True,Action
Reservoir Dogs,119,89,23,7,True,Action
Resident Evil,13,5,8,0,True,Action
Return of the Apes,10,8,2,0,True,Action
Rise of the Planet of the Apes,0,0,0,0,[],Action
Robin Hood: Prince of Thieves,0,0,0,0,[],Action
Robocop,0,0,0,0,[],Action
"Rock, The",43,33,10,0,True,Action
RocknRolla,21,17,4,0,True,Action
Ronin,35,29,5,1,True,Action
Rush,6,5,1,0,True,Action
Rush Hour,15,9,6,0,True,Action
Rush Hour 2,6,0,5,1,True,Action
"Saint, The",1,0,1,0,True,Action
Saving Private Ryan,23,20,3,0,True,Action
Scarface,99,83,16,0,True,Action
Scott Pilgrim vs the World,14,10,0,4,True,Action
Serenity,1,1,0,0,True,Action
Sherlock Holmes,2,1,1,0,True,Action
Sicario,30,27,3,0,True,Action
"Siege, The",23,16,5,2,True,Action
Smokin' Aces,57,32,18,7,True,Action
Sneakers,0,0,0,0,[],Action
Snow White and the Huntsman,0,0,0,0,[],Action
Soldier,7,4,3,0,True,Action
Someone To Watch Over Me,16,14,2,0,True,Action
Speed,0,0,0,0,[],Action
Speed Racer,0,0,0,0,[],Action
Spider-Man,1,0,1,0,True,Action
Star Trek,38,31,7,0,True,Action
Star Trek II: The Wrath of Khan,0,0,0,0,[],Action
Star Trek: First Contact,0,0,0,0,[],Action
Star Trek: Generations,0,0,0,0,[],Action
Star Trek: Nemesis,0,0,0,0,[],Action
Star Wars: A New Hope,0,0,0,0,[],Action
Star Wars: Attack of the Clones,0,0,0,0,[],Action
Star Wars: Return of the Jedi,0,0,0,0,[],Action
Star Wars: Revenge of the Sith,0,0,0,0,[],Action
Star Wars: The Empire Strikes Back,0,0,0,0,[],Action
Star Wars: The Force Awakens,0,0,0,0,[],Action
