title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Looper,14,13,1,0,True,Crime
Lord of War,13,13,0,0,True,Crime
"Losers, The",2,0,2,0,True,Crime
Machine Gun Preacher,12,7,5,0,True,Crime
Made,56,25,29,2,True,Crime
Man On Fire,6,5,1,0,True,Crime
"Man Who Wasn't There, The",0,0,0,0,[],Crime
Manhattan Murder Mystery,0,0,0,0,[],Crime
"Mariachi, El",0,0,0,0,[],Crime
"Mask, The",4,0,0,4,True,Crime
Matchstick Men,0,0,0,0,[],Crime
Max Payne,1,0,1,0,True,Crime
Mean Streets,4,2,2,0,True,Crime
"Mechanic, The",2,1,1,0,True,Crime
Miami Vice,8,8,0,0,True,Crime
Midnight Express,33,26,6,1,True,Crime
Miller's Crossing,0,0,0,0,[],Crime
Mini's First Time,8,6,1,1,True,Crime
Minority Report,5,4,1,0,True,Crime
Mr Brooks,7,5,1,1,True,Crime
Natural Born Killers,22,2,15,5,True,Crime
"Next Three Days, The",3,1,1,1,True,Crime
Nick of Time,7,4,2,1,True,Crime
Ninja Assassin,3,3,0,0,True,Crime
No Country for Old Men,0,0,0,0,[],Crime
O Brother Where Art Thou?,0,0,0,0,[],Crime
Observe and Report,44,24,19,1,True,Crime
Ocean's Eleven,7,2,5,0,True,Crime
Ocean's Twelve,2,0,2,0,True,Crime
Only God Forgives,7,7,0,0,True,Crime
Out of Sight,26,13,13,0,True,Crime
Panic Room,13,9,4,0,True,Crime
"Perfect World, A",4,0,4,0,True,Crime
Pineapple Express,58,31,26,1,True,Crime
Point Break,17,10,6,1,True,Crime
Public Enemies,1,0,1,0,True,Crime
Pulp Fiction,70,25,37,8,True,Crime
Reindeer Games,18,14,4,0,True,Crime
Reservoir Dogs,73,45,22,6,True,Crime
Robocop,0,0,0,0,[],Crime
RocknRolla,12,8,4,0,True,Crime
Romeo & Juliet,0,0,0,0,[],Crime
Ronin,14,8,5,1,True,Crime
Rush Hour,9,3,6,0,True,Crime
Rush Hour 2,5,0,4,1,True,Crime
S. Darko,10,5,5,0,True,Crime
"Salton Sea, The",16,11,5,0,True,Crime
Saw,8,4,4,0,True,Crime
Scarface,60,44,16,0,True,Crime
Serial Mom,2,1,1,0,True,Crime
Shallow Grave,0,0,0,0,[],Crime
Sherlock Holmes,0,0,0,0,[],Crime
Sicario,8,5,3,0,True,Crime
Silence of the Lambs,5,3,0,2,True,Crime
Sister Act,1,0,0,1,True,Crime
Slumdog Millionaire,4,1,3,0,True,Crime
Smokin' Aces,29,11,17,1,True,Crime
Snatch,34,29,5,0,True,Crime
Sneakers,0,0,0,0,[],Crime
Someone To Watch Over Me,6,5,1,0,True,Crime
Spartan,12,12,0,0,True,Crime
"Sting, The",1,1,0,0,True,Crime
Strange Days,15,8,6,1,True,Crime
Suspect Zero,1,1,0,0,True,Crime
Taking Lives,10,5,3,2,True,Crime
"Taking of Pelham One Two Three, The",6,2,3,1,True,Crime
"Talented Mr. Ripley, The",2,2,0,0,True,Crime
Taxi Driver,3,2,1,0,True,Crime
Thelma & Louise,0,0,0,0,[],Crime
Thunderheart,16,7,8,1,True,Crime
Ticker,6,5,1,0,True,Crime
Traffic,21,14,7,0,True,Crime
True Romance,70,45,22,3,True,Crime
"Usual Suspects, The",0,0,0,0,[],Crime
"Visitor, The",8,5,3,0,True,Crime
Wall Street,0,0,0,0,[],Crime
Wanted,2,1,0,1,True,Crime
We Own the Night,11,5,4,2,True,Crime
While She Was Out,10,5,5,0,True,Crime
White Jazz,9,2,2,5,True,Crime
"White Ribbon, The",10,5,4,1,True,Crime
Whiteout,0,0,0,0,[],Crime
Who Framed Roger Rabbit?,1,1,0,0,True,Crime
Wild At Heart,0,0,0,0,[],Crime
Wild Things,20,12,6,2,True,Crime
Witness,10,5,3,2,True,Crime
"Wolf of Wall Street, The",3,1,1,1,True,Crime
