title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
"Battle of Algiers, The",0,0,0,0,[],Crime
"Battle of Shaker Heights, The",16,15,1,0,True,Crime
Battle: Los Angeles,0,0,0,0,[],Crime
"Beach, The",20,17,3,0,True,Crime
Bean,0,0,0,0,[],Crime
Beasts of No Nation,2,2,0,0,True,Crime
Beasts of the Southern Wild,1,1,0,0,True,Crime
Beauty and the Beast,0,0,0,0,[],Crime
Beavis and Butt-head Do America,0,0,0,0,[],Crime
Beginners,5,5,0,0,True,Crime
Being Human,4,3,1,0,True,Crime
Being John Malkovich,16,13,2,1,True,Crime
Being There,3,1,0,2,True,Crime
"Believer, The",40,37,3,0,True,Crime
Belle,0,0,0,0,[],Crime
Beloved,2,0,1,1,True,Crime
Benny & Joon,0,0,0,0,[],Crime
"Best Exotic Marigold Hotel, The",2,2,0,0,True,Crime
Big,1,1,0,0,True,Crime
"Big Blue, The",2,1,1,0,True,Crime
Big Eyes,1,1,0,0,True,Crime
Big Fish,3,0,3,0,True,Crime
"Big Lebowski, The",224,209,15,0,True,Crime
"Big Sick, The",46,43,3,0,True,Crime
"Big White, The",19,13,5,1,True,Crime
Birdman,73,60,13,0,True,Crime
"Birds, The",0,0,0,0,[],Crime
Birthday Girl,12,12,0,0,True,Crime
"Black Dahlia, The",44,35,6,3,True,Crime
Black Panther,7,0,7,0,True,Crime
Black Rain,5,1,4,0,True,Crime
Black Snake Moan,38,18,17,3,True,Crime
Black Swan,15,15,0,0,True,Crime
BlacKkKlansman,24,14,8,2,True,Crime
Blade,12,8,4,0,True,Crime
Blade II,32,30,2,0,True,Crime
Blade Runner,5,3,2,0,True,Crime
Blade: Trinity,0,0,0,0,[],Crime
"Blast from the Past, The",4,1,2,1,True,Crime
"Blind Side, The",1,0,1,0,True,Crime
"Bling Ring, The",23,23,0,0,True,Crime
Blood and Wine,14,13,1,0,True,Crime
Blood Simple,8,7,1,0,True,Crime
Blow,87,81,5,1,True,Crime
Blue Valentine,23,18,5,0,True,Crime
Blue Velvet,16,11,5,0,True,Crime
"Blues Brothers, The",0,0,0,0,[],Crime
"Bodies, Rest & Motion",0,0,0,0,[],Crime
Body Heat,6,4,2,0,True,Crime
Body of Evidence,6,5,0,1,True,Crime
Bodyguard,21,15,2,4,True,Crime
Bones,26,15,9,2,True,Crime
Bonfire of the Vanities,27,21,5,1,True,Crime
Bonnie and Clyde,1,1,0,0,True,Crime
Boogie Nights,92,78,12,2,True,Crime
"Book of Eli, The",14,13,1,0,True,Crime
Boondock Saints 2: All Saints Day,0,0,0,0,[],Crime
"Boondock Saints, The",93,77,16,0,True,Crime
Bottle Rocket,39,31,8,0,True,Crime
Bound,64,58,5,1,True,Crime
"Bounty Hunter, The",16,12,3,1,True,Crime
"Bourne Identity, The",38,24,14,0,True,Crime
"Bourne Supremacy, The",0,0,0,0,[],Crime
"Bourne Ultimatum, The",1,1,0,0,True,Crime
"Box, The",1,0,1,0,True,Crime
"Boxtrolls, The",0,0,0,0,[],Crime
Boyhood,40,28,9,3,True,Crime
Braveheart,0,0,0,0,[],Crime
Brazil,5,3,2,0,True,Crime
Break,3,0,3,0,True,Crime
Breakdown,16,15,1,0,True,Crime
"Breakfast Club, The",23,15,8,0,True,Crime
Breaking Away,0,0,0,0,[],Crime
Brick,0,0,0,0,[],Crime
Bridesmaids,15,6,9,0,True,Crime
Bringing Out the Dead,8,3,5,0,False,Crime
Broadcast News,3,2,1,0,True,Crime
