title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Being There,4,1,0,3,0,True
"Believer, The",47,37,10,0,0,True
Belle,0,0,0,0,0,[]
Beloved,2,0,1,1,0,True
Benny & Joon,0,0,0,0,0,[]
"Best Exotic Marigold Hotel, The",2,2,0,0,0,True
Big,2,1,1,0,0,True
"Big Blue, The",5,1,2,2,0,True
Big Eyes,5,1,2,2,0,True
Big Fish,5,0,4,1,0,True
"Big Lebowski, The",247,218,27,2,0,True
"Big Sick, The",58,51,7,0,0,True
"Big White, The",21,14,6,1,0,True
Birdman,108,76,31,1,0,True
"Birds, The",0,0,0,0,0,[]
Birthday Girl,13,12,1,0,0,True
"Black Dahlia, The",53,38,9,4,2,True
Black Panther,7,0,7,0,0,True
Black Rain,8,1,6,1,0,True
Black Snake Moan,62,22,36,4,0,True
Black Swan,20,19,1,0,0,True
BlacKkKlansman,32,14,14,3,1,True
Blade,12,8,4,0,0,True
Blade II,46,32,10,4,0,True
Blade Runner,10,7,3,0,0,True
Blade: Trinity,0,0,0,0,0,[]
"Blast from the Past, The",8,1,5,2,0,True
"Blind Side, The",4,0,1,3,0,True
"Bling Ring, The",34,25,6,3,0,True
Blood and Wine,18,15,3,0,0,True
Blood Simple,10,7,3,0,0,True
Blow,103,87,14,2,0,True
Blue Valentine,30,21,8,1,0,True
Blue Velvet,40,27,10,3,0,True
"Blues Brothers, The",0,0,0,0,0,[]
"Bodies, Rest & Motion",0,0,0,0,0,[]
Body Heat,11,5,6,0,0,True
Body of Evidence,9,5,1,3,0,True
Bodyguard,29,19,5,5,0,True
Bones,47,18,25,4,0,True
Bonfire of the Vanities,45,24,15,6,0,True
Bonnie and Clyde,2,1,0,1,0,True
Boogie Nights,113,88,20,4,1,True
"Book of Eli, The",24,14,7,3,0,True
Boondock Saints 2: All Saints Day,0,0,0,0,0,[]
"Boondock Saints, The",147,101,42,4,0,True
Bottle Rocket,54,36,16,2,0,True
Bound,100,73,20,6,1,True
"Bounty Hunter, The",39,19,12,8,0,True
"Bourne Identity, The",44,25,19,0,0,True
"Bourne Supremacy, The",0,0,0,0,0,[]
"Bourne Ultimatum, The",2,1,1,0,0,True
"Box, The",1,0,1,0,0,True
"Boxtrolls, The",0,0,0,0,0,[]
Boyhood,50,31,12,7,0,True
Braveheart,0,0,0,0,0,[]
Brazil,11,3,7,1,0,True
Break,3,0,3,0,0,True
Breakdown,26,19,6,1,0,True
"Breakfast Club, The",40,15,19,6,0,True
Breaking Away,2,0,2,0,0,True
Brick,0,0,0,0,0,[]
Bridesmaids,33,6,23,3,1,True
Bringing Out the Dead,18,9,8,1,0,True
Broadcast News,7,5,2,0,0,True
Broken Arrow,9,2,6,1,0,True
Broken Embraces,9,6,1,2,0,True
"Brothers Bloom, The",23,7,11,5,0,True
Bruce Almighty,1,0,1,0,0,True
Buffy the Vampire Slayer,11,2,3,6,0,True
Bull Durham,47,23,20,4,0,True
Buried,15,8,5,2,0,True
Burlesque,22,0,16,6,0,True
Burn After Reading,68,49,16,3,0,True
Burning Annie,25,8,16,1,0,True
"Butterfly Effect, The",46,29,15,2,0,True
Cable Guy,6,0,3,3,0,True
Candle to Water,75,54,11,10,0,True
Capote,2,2,0,0,0,True
Carrie,17,3,13,1,0,True
Cars 2,0,0,0,0,0,[]
Casablanca,0,0,0,0,0,[]
Case 39,4,3,1,0,0,True
Casino,186,149,31,5,1,True
Cast Away,33,19,13,1,0,True
