title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Batman Returns,0,0,0,0,0,[]
The Battle of Algiers,2,0,1,1,0,TRUE
The Battle of Shaker Heights,23,16,5,2,0,TRUE
Battle: Los Angeles,0,0,0,0,0,[]
The Beach,23,17,6,0,0,TRUE
Bean,1,0,1,0,0,TRUE
Beasts of No Nation,2,2,0,0,0,TRUE
Beasts of the Southern Wild,4,1,2,1,0,TRUE
Beauty and the Beast,0,0,0,0,0,[]
Beavis and Butt-head Do America,0,0,0,0,0,[]
Beginners,6,6,0,0,0,TRUE
Being Human,4,3,1,0,0,TRUE
Being John Malkovich,27,13,10,2,2,TRUE
Being There,4,1,0,3,0,TRUE
The Believer,47,37,10,0,0,TRUE
Belle,0,0,0,0,0,[]
Beloved,2,0,1,1,0,TRUE
Benny & Joon,0,0,0,0,0,[]
The Best Exotic Marigold Hotel,2,2,0,0,0,TRUE
Big,2,1,1,0,0,TRUE
The Big Blue,5,1,2,2,0,TRUE
Big Eyes,5,1,2,2,0,TRUE
Big Fish,5,0,4,1,0,TRUE
The Big Lebowski,247,218,27,2,0,TRUE
The Big Sick,58,51,7,0,0,TRUE
The Big White,21,14,6,1,0,TRUE
Birdman,108,76,31,1,0,TRUE
The Birds,0,0,0,0,0,[]
Birthday Girl,13,12,1,0,0,TRUE
The Black Dahlia,53,38,9,4,2,TRUE
Black Panther,7,0,7,0,0,TRUE
Black Rain,8,1,6,1,0,TRUE
Black Snake Moan,62,22,36,4,0,TRUE
Black Swan,20,19,1,0,0,TRUE
BlacKkKlansman,32,14,14,3,1,TRUE
Blade,12,8,4,0,0,TRUE
Blade II,46,32,10,4,0,TRUE
Blade Runner,10,7,3,0,0,TRUE
Blade: Trinity,0,0,0,0,0,[]
The Blast from the Past,8,1,5,2,0,TRUE
The Blind Side,4,0,1,3,0,TRUE
The Bling Ring,34,25,6,3,0,TRUE
Blood and Wine,18,15,3,0,0,TRUE
Blood Simple,10,7,3,0,0,TRUE
Blow,103,87,14,2,0,TRUE
Blue Valentine,30,21,8,1,0,TRUE
Blue Velvet,40,27,10,3,0,TRUE
The Blues Brothers,0,0,0,0,0,[]
"Bodies, Rest & Motion",0,0,0,0,0,[]
Body Heat,11,5,6,0,0,TRUE
Body of Evidence,9,5,1,3,0,TRUE
Bodyguard,29,19,5,5,0,TRUE
Bones,47,18,25,4,0,TRUE
Bonfire of the Vanities,45,24,15,6,0,TRUE
Bonnie and Clyde,2,1,0,1,0,TRUE
Boogie Nights,113,88,20,4,1,TRUE
The Book of Eli,24,14,7,3,0,TRUE
Boondock Saints 2: All Saints Day,0,0,0,0,0,[]
The Boondock Saints,147,101,42,4,0,TRUE
Bottle Rocket,54,36,16,2,0,TRUE
Bound,100,73,20,6,1,TRUE
The Bounty Hunter,39,19,12,8,0,TRUE
The Bourne Identity,44,25,19,0,0,TRUE
The Bourne Supremacy,0,0,0,0,0,[]
The Bourne Ultimatum,2,1,1,0,0,TRUE
The Box,1,0,1,0,0,TRUE
The Boxtrolls,0,0,0,0,0,[]
Boyhood,50,31,12,7,0,TRUE
Braveheart,0,0,0,0,0,[]
Brazil,11,3,7,1,0,TRUE
Break,3,0,3,0,0,TRUE
Breakdown,26,19,6,1,0,TRUE
The Breakfast Club,40,15,19,6,0,TRUE
Breaking Away,2,0,2,0,0,TRUE
Brick,0,0,0,0,0,[]
Bridesmaids,33,6,23,3,1,TRUE
Bringing Out the Dead,18,9,8,1,0,TRUE
Broadcast News,7,5,2,0,0,TRUE
Broken Arrow,9,2,6,1,0,TRUE
Broken Embraces,9,6,1,2,0,TRUE
The Brothers Bloom,23,7,11,5,0,TRUE
Bruce Almighty,1,0,1,0,0,TRUE
